kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora ,TICKER
III Q 2013,PLN,4540102.0,523602.0,459739,367062,423414,947016,31425277,17143926,"1752549,394","0,209","9,782",N,TPE
IV Q 2011,PLN,5588381.0,324564.0,318798,250612,361617,686181,28526996,15632321,"1752549,394","0,143","8,920",N,TPE
I Q 2012,PLN,6454853.0,558540.0,499212,381164,416352,974892,28852487,16054855,"1752549,394","0,217","9,161",N,TPE
II Q 2012,PLN,5859133.0,694865.0,643815,475837,411336,1106201,28968106,15964308,"1752549,394","0,272","9,109",N,TPE
III Q 2012,PLN,5900257.0,579171.0,537188,412196,420817,999988,29676658,16336651,"1752549,394","0,235","9,322",N,TPE
IV Q 2010,PLN,4478004.0,271331.0,211970,157058,329390,600721,23430284,14704825,"3154588,909","0,050","4,661",N,TPE
I Q 2011,PLN,5299075.0,510995.0,487037,382471,349588,860583,22789982,15091762,"1752549,394","0,218","8,611",N,TPE
II Q 2011,PLN,5032069.0,427083.0,428367,321562,348244,775327,23404475,15157415,"1752549,394","0,183","8,649",N,TPE
III Q 2011,PLN,4835697.0,382862.0,366795,290471,351648,734510,23461511,15459848,"1752549,394","0,166","8,821",N,TPE
IV Q 2009,PLN,3663573.0,254204.0,217726,163140,328982,583186,22155493,11858566,"2797256,712","0,058","4,239",N,TPE
I Q 2010,PLN,3794333.0,476046.0,449729,291813,346604,822650,21807983,12144911,"2797256,712","0,104","4,342",N,TPE
II Q 2010,PLN,3465956.0,306705.0,271729,189954,341924,648629,22016702,12507950,"2860989,772","0,066","4,372",N,TPE
III Q 2010,PLN,3690586.0,345177.0,324122,219831,340860,686037,22515176,12722949,"2860989,772","0,077","4,447",N,TPE
IV Q 2007,PLN,0.0,0.0,0,0,0,0,20247698,11026782,"2797256,712","0,000","3,942",N,TPE
IV Q 2008,PLN,0.0,0.0,0,0,0,0,20823133,11125910,"2797256,712","0,000","3,977",N,TPE
I Q 2009,PLN,3549505.0,334666.0,305859,186024,324642,659308,0,0,"2797256,712","0,067","0,000",N,TPE
III Q 2009,PLN,3251762.0,354776.0,333429,203709,342954,697730,0,0,"2797256,712","0,073","0,000",N,TPE
I Q 2023,PLN,3139000.0,392000.0,330000,270000,618000,1010000,25697000,13554000,"1312357,479","0,206","10,328",N,OPL
II Q 2023,PLN,3224000.0,343000.0,298000,239000,650000,993000,26139000,13229000,"1312357,479","0,182","10,080",N,OPL
III Q 2023,PLN,3115000.0,377000.0,290000,237000,626000,1003000,25698000,13429000,"1312357,479","0,181","10,233",N,OPL
IV Q 2023,PLN,3492000.0,109000.0,90000,72000,677000,786000,26826000,13444000,"1312357,479","0,055","10,244",N,OPL
I Q 2022,PLN,2931000.0,244000.0,156000,125000,627000,871000,26238000,12983000,"1312357,479","0,095","9,893",N,OPL
II Q 2022,PLN,3055000.0,337000.0,269000,243000,629000,966000,26554000,13245000,"1312357,479","0,185","10,093",N,OPL
III Q 2022,PLN,3123000.0,324000.0,238000,193000,639000,963000,26394000,13579000,"1312357,479","0,147","10,347",N,OPL
IV Q 2022,PLN,3379000.0,256000.0,204000,163000,646000,902000,26766000,13451000,"1312357,479","0,124","10,249",N,OPL
I Q 2021,PLN,2918000.0,116000.0,50000,39000,691000,807000,24207000,10681000,"1312357,479","0,030","8,139",N,OPL
II Q 2021,PLN,2954000.0,224000.0,179000,116000,660000,884000,23733000,10809000,"1312357,479","0,088","8,236",N,OPL
III Q 2021,PLN,2885000.0,1856000.0,1770000,1586000,665000,2521000,25401000,12431000,"1312357,479","1,209","9,472",N,OPL
IV Q 2021,PLN,3171000.0,15000.0,-69000,-69000,714000,729000,26157000,12609000,"1312357,479","-0,053","9,608",N,OPL
I Q 2020,PLN,2804000.0,88000.0,-44000,-38000,714000,802000,24199000,10484000,"1312357,479","-0,029","7,989",N,OPL
II Q 2020,PLN,2828000.0,109000.0,60000,52000,744000,853000,24610000,10537000,"1312357,479","0,040","8,029",N,OPL
III Q 2020,PLN,2793000.0,150000.0,67000,53000,728000,878000,24189000,10610000,"1312357,479","0,040","8,085",N,OPL
IV Q 2020,PLN,3083000.0,57000.0,-21000,-21000,759000,816000,24300000,10597000,"1312357,479","-0,016","8,075",N,OPL
I Q 2019,PLN,2778000.0,71000.0,-3000,-2000,654000,725000,24011000,10492000,"1312357,479","-0,002","7,995",N,OPL
II Q 2019,PLN,2759000.0,139000.0,66000,52000,667000,806000,24475000,10533000,"1312357,479","0,040","8,026",N,OPL
III Q 2019,PLN,2870000.0,378000.0,271000,222000,694000,1072000,24152000,10752000,"1312357,479","0,169","8,193",N,OPL
IV Q 2019,PLN,2999000.0,-176000.0,-224000,-187000,801000,625000,24922000,10555000,"1312357,479","-0,142","8,043",N,OPL
I Q 2018,PLN,2710000.0,33000.0,-53000,-50000,641000,674000,23103000,10448000,"1312357,479","-0,038","7,961",N,OPL
II Q 2018,PLN,2706000.0,73000.0,-14000,-16000,636000,709000,23237000,10446000,"1312357,479","-0,012","7,960",N,OPL
III Q 2018,PLN,2755000.0,175000.0,114000,91000,617000,792000,22929000,10530000,"1312357,479","0,069","8,024",N,OPL
IV Q 2018,PLN,2930000.0,64000.0,-7000,-15000,647000,711000,23295000,10501000,"1312357,479","-0,011","8,002",N,OPL
I Q 2017,PLN,2818000.0,109000.0,38000,39000,639000,748000,22141000,10015000,"1312357,479","0,030","7,631",N,OPL
II Q 2017,PLN,2839000.0,169000.0,83000,71000,642000,811000,22576000,10089000,"1312357,479","0,054","7,688",N,OPL
III Q 2017,PLN,2814000.0,128000.0,40000,28000,643000,771000,22675000,10131000,"1312357,479","0,021","7,720",N,OPL
IV Q 2017,PLN,2910000.0,-177000.0,-236000,-198000,648000,471000,22933000,9936000,"1312357,479","-0,151","7,571",N,OPL
I Q 2016,PLN,2803000.0,215000.0,119000,98000,653000,868000,24455000,12044000,"1312357,479","0,075","9,177",N,OPL
II Q 2016,PLN,2903000.0,142000.0,46000,17000,683000,825000,24446000,11774000,"1312357,479","0,013","8,972",N,OPL
III Q 2016,PLN,2851000.0,137000.0,58000,37000,695000,832000,23940000,11816000,"1312357,479","0,028","9,004",N,OPL
IV Q 2016,PLN,2981000.0,-1848000.0,-1936000,-1898000,694000,-1154000,22826000,10007000,"1312357,479","-1,446","7,625",N,OPL
I Q 2015,PLN,2930000.0,246000.0,188000,171000,710000,956000,21855000,12554000,"1312357,479","0,130","9,566",N,OPL
II Q 2015,PLN,3013000.0,232000.0,156000,126000,733000,965000,22186000,12074000,"1312357,479","0,096","9,200",N,OPL
III Q 2015,PLN,2971000.0,212000.0,136000,110000,716000,928000,21963000,12203000,"1312357,479","0,084","9,299",N,OPL
IV Q 2015,PLN,2926000.0,-118000.0,-199000,-153000,712000,594000,21652000,11975000,"1312357,479","-0,117","9,125",N,OPL
I Q 2014,PLN,2995000.0,200000.0,272000,271000,750000,950000,22499000,12908000,"1312357,479","0,206","9,836",N,OPL
II Q 2014,PLN,3084000.0,200000.0,83000,94000,794000,994000,22658000,12329000,"1312357,479","0,072","9,395",N,OPL
III Q 2014,PLN,3046000.0,277000.0,192000,140000,759000,1036000,21923000,12411000,"1312357,479","0,107","9,457",N,OPL
IV Q 2014,PLN,3087000.0,309000.0,35000,30000,770000,1079000,22104000,12396000,"1312357,479","0,023","9,446",N,OPL
I Q 2013,PLN,3267000.0,241000.0,107000,81000,791000,1032000,23572000,13043000,"1335649,021","0,061","9,765",N,OPL
II Q 2013,PLN,3303000.0,218000.0,110000,76000,783000,1001000,23196000,12459000,"1312357,479","0,058","9,494",N,OPL
III Q 2013,PLN,3196000.0,390000.0,272000,239000,775000,1165000,22775000,12716000,"1312357,479","0,182","9,689",N,OPL
IV Q 2013,PLN,3157000.0,-61000.0,-179000,-102000,758000,697000,22802000,12629000,"1312357,479","-0,078","9,623",N,OPL
I Q 2012,PLN,3520000.0,404000.0,296000,242000,819000,1223000,25284000,14492000,"1335649,021","0,181","10,850",N,OPL
II Q 2012,PLN,3667000.0,458000.0,331000,255000,834000,1292000,25069000,12670000,"1335649,021","0,191","9,486",N,OPL
III Q 2012,PLN,3472000.0,523000.0,377000,307000,801000,1324000,23927000,12945000,"1335649,021","0,230","9,692",N,OPL
IV Q 2012,PLN,3482000.0,189000.0,14000,51000,813000,1002000,24163000,12956000,"1335649,021","0,038","9,700",N,OPL
I Q 2011,PLN,3729000.0,367000.0,236000,189000,978000,1345000,28707000,14803000,"1335649,021","0,142","11,083",N,OPL
II Q 2011,PLN,3790000.0,-37000.0,1062000,994000,989000,952000,29705000,13793000,"1335649,021","0,744","10,327",N,OPL
III Q 2011,PLN,3679000.0,500000.0,389000,376000,900000,1400000,26968000,14200000,"1335649,021","0,282","10,632",N,OPL
IV Q 2011,PLN,3724000.0,203000.0,98000,358000,836000,1039000,28219000,14331000,"1335649,021","0,268","10,730",N,OPL
I Q 2010,PLN,3873000.0,474000.0,359000,285000,941000,1415000,29144000,16845000,"1335649,021","0,213","12,612",N,OPL
II Q 2010,PLN,3987000.0,507000.0,409000,324000,965000,1472000,29395000,15161000,"1335649,021","0,243","11,351",N,OPL
III Q 2010,PLN,3898000.0,-503000.0,-631000,-720000,941000,438000,27718000,14402000,"1335649,021","-0,539","10,783",N,OPL
IV Q 2010,PLN,3957000.0,430000.0,312000,218000,945000,1375000,28873000,14620000,"1335649,021","0,163","10,946",N,OPL
I Q 2009,PLN,4312000.0,610000.0,411000,328000,1060000,1670000,30433000,17580000,"1335649,021","0,246","13,162",N,OPL
II Q 2009,PLN,4185000.0,501000.0,436000,375000,1053000,1554000,30923000,15966000,"1335649,021","0,281","11,954",N,OPL
III Q 2009,PLN,4058000.0,529000.0,421000,327000,1048000,1577000,0,0,"1335649,021","0,245","0,000",N,OPL
IV Q 2009,PLN,4005000.0,457000.0,330000,251000,989000,1446000,29365000,16539000,"1335649,021","0,188","12,383",N,OPL
I Q 2008,PLN,4527000.0,940000.0,823000,681000,1067000,2007000,31915000,18457000,"1368773,241","0,498","13,484",N,OPL
II Q 2008,PLN,4520000.0,984000.0,900000,698000,1094000,2078000,31323000,17123000,"1368773,241","0,510","12,510",N,OPL
III Q 2008,PLN,4539000.0,915000.0,773000,630000,1061000,1976000,0,0,"1368773,241","0,460","0,000",N,OPL
IV Q 2008,PLN,4579000.0,474000.0,99000,179000,1095000,1569000,31234000,17217000,"1368773,241","0,131","12,578",N,OPL
I Q 2007,PLN,4440000.0,784000.0,644000,518000,1115000,1899000,31922000,18615000,"1400000,000","0,370","13,296",N,OPL
II Q 2007,PLN,4507000.0,677000.0,612000,495000,1133000,1810000,32332000,17092000,"1400000,000","0,354","12,209",N,OPL
III Q 2007,PLN,4647000.0,963000.0,817000,644000,1091000,2054000,0,0,"1400000,000","0,460","0,000",N,OPL
IV Q 2007,PLN,4650000.0,821000.0,757000,616000,1100000,1921000,32422000,17760000,"1400000,000","0,440","12,686",N,OPL
I Q 2006,PLN,4563000.0,877000.0,604000,505000,1115000,1992000,33771000,18420000,"1400000,000","0,361","13,157",N,OPL
II Q 2006,PLN,4642000.0,792000.0,678000,544000,1192000,1984000,33075000,17619000,"1400000,000","0,389","12,585",N,OPL
III Q 2006,PLN,4734000.0,1014000.0,836000,664000,1127000,2141000,0,0,"1400000,000","0,474","0,000",N,OPL
IV Q 2006,PLN,4686000.0,684000.0,516000,381000,1055000,1739000,32611000,18090000,"1400000,000","0,272","12,921",N,OPL
I Q 2005,PLN,4441000.0,975000.0,657000,412000,1105000,2080000,35273000,17977000,"1400000,000","0,294","12,841",N,OPL
II Q 2005,PLN,4601000.0,1070000.0,734000,455000,1002000,2072000,34446000,16503000,"1400000,000","0,325","11,788",N,OPL
III Q 2005,PLN,4614000.0,1170000.0,1098000,937000,1101000,2271000,0,0,"1400000,000","0,669","0,000",N,OPL
IV Q 2005,PLN,4686000.0,612000.0,481000,484000,1052000,1664000,35330000,17381000,"1400000,000","0,346","12,415",N,OPL
I Q 2004,PLN,4588000.0,1009000.0,836000,583000,1057000,2066000,0,0,"1400000,000","0,416","0,000",N,OPL
II Q 2004,PLN,4594000.0,919000.0,808000,571000,1053627,1972627,35234811,14555477,"1400000,000","0,408","10,397",N,OPL
III Q 2004,PLN,4682000.0,931000.0,892000,628000,1197726,2128726,36408594,15072657,"1400000,000","0,449","10,766",N,OPL
IV Q 2004,PLN,4666000.0,929000.0,741000,524000,985364,1914364,34861000,16145000,"1400000,000","0,374","11,532",N,OPL
I Q 2003,PLN,4491839.0,989710.0,248540,185999,1077665,2067375,35358362,12790686,"1400000,000","0,133","9,136",N,OPL
II Q 2003,PLN,4570885.0,895059.0,546196,269883,1096847,1991906,35961668,12918484,"1400000,000","0,193","9,227",N,OPL
III Q 2003,PLN,4562911.0,968824.0,653511,486655,1047949,2016773,36429193,13433909,"1400000,000","0,348","9,596",N,OPL
IV Q 2003,PLN,4705399.0,442664.0,40927,-24424,1118602,1561266,37032842,13425485,"1400000,000","-0,017","9,590",N,OPL
I Q 2002,PLN,4380378.0,828797.0,209510,104953,1027528,1856325,34831834,11996055,"1400000,000","0,075","8,569",N,OPL
II Q 2002,PLN,4418137.0,677954.0,-83592,-87180,1014390,1692344,35129569,11826269,"1400000,000","-0,062","8,447",N,OPL
III Q 2002,PLN,4579082.0,844360.0,350694,200739,1090513,1934873,35549645,12041785,"1400000,000","0,143","8,601",N,OPL
IV Q 2002,PLN,4607603.0,522233.0,520419,621879,1154108,1676341,36889183,12661160,"1400000,000","0,444","9,044",N,OPL
I Q 2001,PLN,4199076.0,949596.0,1058245,745225,892747,1842343,34137900,12129408,"1400000,000","0,532","8,664",N,OPL
II Q 2001,PLN,4314341.0,670157.0,606671,379392,932922,1603079,33662622,12585755,"1400000,000","0,271","8,990",N,OPL
III Q 2001,PLN,4336631.0,710902.0,-430751,-375018,982934,1693836,34621120,12212837,"1400000,000","-0,268","8,723",N,OPL
IV Q 2001,PLN,4479165.0,-300603.0,-53250,-137255,994619,694016,35545894,11896520,"1400000,000","-0,098","8,498",N,OPL
I Q 2000,PLN,3671307.0,890236.0,612613,415054,728351,1618587,27812984,10518697,"0,000",,,N,OPL
II Q 2000,PLN,3896290.0,777246.0,287403,192668,732082,1509328,28241640,10621273,"0,000",,,N,OPL
III Q 2000,PLN,3989215.0,965316.0,524371,350487,768475,1733791,28679023,10974846,"0,000",,,N,OPL
IV Q 2000,PLN,4322322.0,389844.0,527966,372323,839927,1229771,32914093,11362668,"1400000,000","0,266","8,116",N,OPL
II Q 1998,PLN,0.0,0.0,0,0,0,0,18571641,9044519,"0,000",,,N,OPL
IV Q 1998,PLN,0.0,0.0,0,0,0,0,24328472,9575712,"0,000",,,N,OPL
II Q 1999,PLN,0.0,0.0,0,0,0,0,23907162,9673337,"0,000",,,N,OPL
IV Q 1999,PLN,0.0,0.0,0,0,0,0,26466000,10104507,"0,000",,,N,OPL
 Q 0000,,4683534.0,870661.0,726257,532980,3748,874409,35036787,15601497,"1400000,000","0,381","11,144",N,OPL
IV Q 2022,PLN,5589000.0,6057000.0,-530000,2634000,814000,436119000,17489000,"863523,000","0,943","20,253",N,,PZU
I Q 2023,PLN,7746000.0,6723000.0,854000,3412000,1155000,445545000,27334000,"863523,000","1,338","31,654",N,,PZU
II Q 2023,PLN,6658000.0,6981000.0,1121000,4166000,1545000,441529000,26793000,"863523,000","1,789","31,028",N,,PZU
III Q 2023,PLN,6857000.0,6942000.0,1027000,4158000,1458000,466380000,28679000,"863523,000","1,688","33,212",N,,PZU
IV Q 2021,PLN,5860000.0,2482000.0,669000,2269000,963000,402129000,17080000,"863523,000","1,115","19,779",N,,PZU
I Q 2022,PLN,6131000.0,3195000.0,859000,2366000,884000,424559000,16967000,"863523,000","1,024","19,649",N,,PZU
II Q 2022,PLN,6191000.0,3573000.0,1042000,2167000,949000,429936000,14969000,"863523,000","1,099","17,335",N,,PZU
III Q 2022,PLN,6386000.0,2358000.0,1042000,438000,727000,432449000,15575000,"863523,000","0,842","18,037",N,,PZU
IV Q 2020,PLN,5707000.0,2214000.0,121000,1382000,721000,378974000,18777000,"863523,000","0,835","21,745",N,,PZU
I Q 2021,PLN,5686000.0,2532000.0,308000,1609000,880000,395418000,19374000,"863523,000","1,019","22,436",N,,PZU
II Q 2021,PLN,5831000.0,2420000.0,249000,1752000,754000,391342000,16916000,"863523,000","0,873","19,590",N,,PZU
III Q 2021,PLN,5855000.0,2121000.0,615000,1824000,739000,396433000,17440000,"863523,000","0,856","20,196",N,,PZU
IV Q 2019,PLN,5863000.0,2930000.0,587000,2024000,935000,343385000,16169000,"863523,000","1,083","18,724",N,,PZU
I Q 2020,PLN,5762000.0,1856000.0,986000,655000,116000,357215000,16199000,"863523,000","0,134","18,759",N,,PZU
II Q 2020,PLN,5690000.0,2293000.0,176000,400000,185000,376645000,16976000,"863523,000","0,214","19,659",N,,PZU
III Q 2020,PLN,5865000.0,2123000.0,444000,1621000,890000,373481000,17889000,"863523,000","1,031","20,716",N,,PZU
IV Q 2018,PLN,5629000.0,2471000.0,585000,1965000,786000,328554000,14925000,"863523,000","0,910","17,284",N,,PZU
I Q 2019,PLN,5592000.0,3018000.0,182000,1487000,747000,337625000,15798000,"863523,000","0,865","18,295",N,,PZU
II Q 2019,PLN,5742000.0,2595000.0,324000,1613000,734000,340079000,14311000,"863523,000","0,850","16,573",N,,PZU
III Q 2019,PLN,5893000.0,2755000.0,472000,1956000,879000,337169000,15350000,"863523,000","1,018","17,776",N,,PZU
IV Q 2017,PLN,5505000.0,2643000.0,160000,1698000,774000,317458000,14599000,"863523,000","0,896","16,906",N,,PZU
I Q 2018,PLN,5458000.0,2219000.0,463000,1316000,627000,318199000,14877000,"863523,000","0,726","17,228",N,,PZU
II Q 2018,PLN,5596000.0,2594000.0,415000,1740000,783000,321811000,13280000,"863523,000","0,907","15,379",N,,PZU
III Q 2018,PLN,5667000.0,2611000.0,694000,2065000,1017000,320117000,14169000,"863523,000","1,178","16,408",N,,PZU
IV Q 2016,PLN,4841000.0,876000.0,421000,1030000,626000,125296000,12998000,"863523,000","0,725","15,052",N,,PZU
I Q 2017,PLN,5072000.0,1679000.0,54000,1259000,940000,126684000,13929000,"863523,000","1,089","16,130",N,,PZU
II Q 2017,PLN,5275000.0,1355000.0,332000,918000,504000,295262000,13154000,"863523,000","0,584","15,233",N,,PZU
III Q 2017,PLN,5502000.0,2801000.0,-70000,1620000,683000,300245000,13905000,"863523,000","0,791","16,103",N,,PZU
IV Q 2015,PLN,4267330.0,328897.0,450931,664273,510505,105397000,12924000,"863523,000","0,591","14,967",N,,PZU
I Q 2016,PLN,4317000.0,1057000.0,189000,716000,492000,108283000,13401000,"863523,000","0,570","15,519",N,,PZU
II Q 2016,PLN,4669000.0,451000.0,496000,333000,168000,112945227,11771199,"863523,000","0,195","13,632",N,,PZU
III Q 2016,PLN,4798000.0,1230000.0,72000,909000,649000,112914000,12377000,"863523,000","0,752","14,333",N,,PZU
IV Q 2014,PLN,4286373.0,465597.0,164095,471227,403897,67572761,13166336,"863523,000","0,468","15,247",N,,PZU
I Q 2015,PLN,4307040.0,1024342.0,348504,1154205,941332,71741982,14083247,"863523,000","1,090","16,309",N,,PZU
II Q 2015,PLN,4436873.0,61631.0,539374,464749,380261,66079734,11852240,"863523,000","0,440","13,725",N,,PZU
III Q 2015,PLN,4373757.0,324130.0,398191,660773,510902,67500857,12365623,"863523,000","0,592","14,320",N,,PZU
IV Q 2013,PLN,4008529.0,653866.0,139563,664481,528206,62787304,13111290,"863523,000","0,612","15,183",N,,PZU
I Q 2014,PLN,3989741.0,542647.0,548791,979569,760446,65044581,13887303,"863523,000","0,881","16,082",N,,PZU
II Q 2014,PLN,4042858.0,827817.0,450215,1196584,959905,63821781,11916799,"863523,000","1,112","13,800",N,,PZU
III Q 2014,PLN,4110398.0,810846.0,400602,1044313,843483,67717196,12778233,"863523,000","0,977","14,798",N,,PZU
IV Q 2012,PLN,4055879.0,1135334.0,-617423,525814,415510,55909560,14190131,"863523,000","0,481","16,433",N,,PZU
I Q 2013,PLN,4107727.0,428867.0,640682,1054341,837908,58760432,14873401,"863523,000","0,970","17,224",N,,PZU
II Q 2013,PLN,4069513.0,540230.0,606357,1055069,837186,62598497,13208982,"863523,000","0,970","15,297",N,,PZU
III Q 2013,PLN,4063000.0,891592.0,577694,1346607,1090196,61863049,12601068,"863523,000","1,262","14,593",N,,PZU
IV Q 2011,PLN,3836039.0,553755.0,340059,614637,486927,52129282,12783162,"863523,000","0,564","14,803",N,,PZU
I Q 2012,PLN,3868858.0,872798.0,286134,1028914,822291,55328867,13702003,"863523,000","0,952","15,868",N,,PZU
II Q 2012,PLN,3997878.0,651106.0,496742,1093837,894642,54267604,12660569,"863523,000","1,036","14,662",N,,PZU
III Q 2012,PLN,4082625.0,1045491.0,417506,1390143,1122738,56800666,13719534,"863523,000","1,300","15,888",N,,PZU
IV Q 2010,PLN,3631880.0,591855.0,294203,710040,565062,50670557,12799800,"863523,000","0,654","14,823",N,,PZU
I Q 2011,PLN,3572134.0,474059.0,450103,961856,791799,53640564,13646489,"863523,000","0,917","15,803",N,,PZU
II Q 2011,PLN,3697565.0,605000.0,371289,934732,762164,57301278,12146354,"863523,000","0,883","14,066",N,,PZU
III Q 2011,PLN,3784790.0,-38988.0,443423,396350,304534,54234820,12334897,"863523,000","0,353","14,284",N,,PZU
IV Q 2009,PLN,3597730.0,890146.0,-46341,614660,562098,53176209,11266746,"0,000",,,N,,PZU
I Q 2010,PLN,3444564.0,909805.0,227380,982148,807415,52577500,12053128,"0,000",,,N,,PZU
II Q 2010,PLN,3558354.0,352335.0,120522,459293,362424,47575661,11338653,"863523,000","0,420","13,131",N,,PZU
III Q 2010,PLN,3578215.0,923779.0,57844,877950,704330,49240420,12191856,"863523,000","0,816","14,119",N,,PZU
IV Q 2008,PLN,0.0,0.0,0,0,0,59359041,20052222,"0,000",,,N,,PZU
I Q 2009,PLN,3614264.0,416719.0,1132807,1433347,1144648,58834318,21018108,"0,000",,,N,,PZU
II Q 2009,PLN,3615074.0,1086857.0,526559,1437801,1164201,58950458,22355817,"0,000",,,N,,PZU
III Q 2009,PLN,3658146.0,1075279.0,128298,1080003,891998,61247148,23393206,"0,000",,,N,,PZU
IV Q 2006,PLN,0.0,0.0,0,0,0,51329198,14325656,"0,000",,,N,,PZU
IV Q 2007,PLN,0.0,0.0,0,0,0,54682353,17835943,"0,000",,,N,,PZU
I Q 2023,PLN,7346000.0,1494000.0,5346000,1965000,1454000,327000,443982000,39258000,"1250000,000","31,406","1,163",N,PKO
